slug,library_formula,formula_rendered_before_fix
derivative-of-arcsin-x,"asin(x)","arcsin(x)"
derivative-of-arccos-x,"acos(x)","arccos(x)"
derivative-of-arctan-x,"atan(x)","arctan(x)"
derivative-of-2x,"2*x","2x"
derivative-of-3x-squared,"3*x^2","3x^2"
derivative-of-e-to-the-2x,"exp(2*x)","e^2x"
derivative-of-sin-2x,"sin(2*x)","sin(2x)"
derivative-of-cos-2x,"cos(2*x)","cos(2x)"
derivative-of-ln-2x,"ln(2*x)","ln(2x)"
derivative-of-5x,"5*x","5x"
derivative-of-1-over-x-squared,"1/x^2","1/(x^2)"
derivative-of-root-x,"x^(1/2)","sqrt(x)"
derivative-of-cbrt-x,"x^(1/3)","cbrt(x)"
derivative-of-constant,"5","constant"
derivative-of-x-sin-x,"x*sin(x)","xsinx"
derivative-of-x-cos-x,"x*cos(x)","xcosx"
derivative-of-x-e-to-the-x,"x*e^x","xe^x"
derivative-of-x-ln-x,"x*ln(x)","xlnx"
derivative-of-sin-squared-x,"sin(x)^2","sin^2x"
derivative-of-cos-squared-x,"cos(x)^2","cos^2x"
derivative-of-tan-squared-x,"tan(x)^2","tan^2x"
derivative-of-e-to-the-minus-x,"exp(-x)","e^-x"
derivative-of-sinh-x,"sinh(x)","sin(hx)"
derivative-of-cosh-x,"cosh(x)","cos(hx)"
derivative-of-tanh-x,"tanh(x)","tan(hx)"
derivative-of-abs-x,"Abs(x)","absx"
derivative-of-sign-x,"sign(x)","signx"
derivative-of-floor-x,"floor(x)","floorx"
derivative-of-x-minus-to-minus-the-minus-2,"x^2","x-to-the-2"
derivative-of-2x-minus-to-minus-the-minus-2,"2*x^2","2x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-1,"x^2 + x^1","x-to-the-2--+--x-to-the-1"
derivative-of-x-minus-to-minus-the-minus-2-minus-minus-minus-x,"x^2 - x","x-to-the-2---x"
derivative-of-x-minus-to-minus-the-minus-3,"x^3","x-to-the-3"
derivative-of-3x-minus-to-minus-the-minus-3,"3*x^3","3x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-3-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-2,"x^3 + x^2","x-to-the-3--+--x-to-the-2"
derivative-of-x-minus-to-minus-the-minus-3-minus-minus-minus-x,"x^3 - x","x-to-the-3---x"
derivative-of-x-minus-to-minus-the-minus-4,"x^4","x-to-the-4"
derivative-of-4x-minus-to-minus-the-minus-4,"4*x^4","4x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-4-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-3,"x^4 + x^3","x-to-the-4--+--x-to-the-3"
derivative-of-x-minus-to-minus-the-minus-4-minus-minus-minus-x,"x^4 - x","x-to-the-4---x"
derivative-of-x-minus-to-minus-the-minus-5,"x^5","x-to-the-5"
derivative-of-5x-minus-to-minus-the-minus-5,"5*x^5","5x-to-the-5"
derivative-of-x-minus-to-minus-the-minus-5-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-4,"x^5 + x^4","x-to-the-5--+--x-to-the-4"
derivative-of-x-minus-to-minus-the-minus-5-minus-minus-minus-x,"x^5 - x","x-to-the-5---x"
derivative-of-x-minus-to-minus-the-minus-6,"x^6","x-to-the-6"
derivative-of-6x-minus-to-minus-the-minus-6,"6*x^6","6x-to-the-6"
derivative-of-x-minus-to-minus-the-minus-6-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-5,"x^6 + x^5","x-to-the-6--+--x-to-the-5"
derivative-of-x-minus-to-minus-the-minus-6-minus-minus-minus-x,"x^6 - x","x-to-the-6---x"
derivative-of-x-minus-to-minus-the-minus-7,"x^7","x-to-the-7"
derivative-of-7x-minus-to-minus-the-minus-7,"7*x^7","7x-to-the-7"
derivative-of-x-minus-to-minus-the-minus-7-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-6,"x^7 + x^6","x-to-the-7--+--x-to-the-6"
derivative-of-x-minus-to-minus-the-minus-7-minus-minus-minus-x,"x^7 - x","x-to-the-7---x"
derivative-of-x-minus-to-minus-the-minus-8,"x^8","x-to-the-8"
derivative-of-8x-minus-to-minus-the-minus-8,"8*x^8","8x-to-the-8"
derivative-of-x-minus-to-minus-the-minus-8-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-7,"x^8 + x^7","x-to-the-8--+--x-to-the-7"
derivative-of-x-minus-to-minus-the-minus-8-minus-minus-minus-x,"x^8 - x","x-to-the-8---x"
derivative-of-x-minus-to-minus-the-minus-9,"x^9","x-to-the-9"
derivative-of-9x-minus-to-minus-the-minus-9,"9*x^9","9x-to-the-9"
derivative-of-x-minus-to-minus-the-minus-9-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-8,"x^9 + x^8","x-to-the-9--+--x-to-the-8"
derivative-of-x-minus-to-minus-the-minus-9-minus-minus-minus-x,"x^9 - x","x-to-the-9---x"
derivative-of-x-minus-to-minus-the-minus-10,"x^10","x-to-the-10"
derivative-of-10x-minus-to-minus-the-minus-10,"10*x^10","10x-to-the-10"
derivative-of-x-minus-to-minus-the-minus-10-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-9,"x^10 + x^9","x-to-the-10--+--x-to-the-9"
derivative-of-x-minus-to-minus-the-minus-10-minus-minus-minus-x,"x^10 - x","x-to-the-10---x"
derivative-of-x-minus-to-minus-the-minus-11,"x^11","x-to-the-11"
derivative-of-11x-minus-to-minus-the-minus-11,"11*x^11","11x-to-the-11"
derivative-of-x-minus-to-minus-the-minus-11-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-10,"x^11 + x^10","x-to-the-11--+--x-to-the-10"
derivative-of-x-minus-to-minus-the-minus-11-minus-minus-minus-x,"x^11 - x","x-to-the-11---x"
derivative-of-x-minus-to-minus-the-minus-12,"x^12","x-to-the-12"
derivative-of-12x-minus-to-minus-the-minus-12,"12*x^12","12x-to-the-12"
derivative-of-x-minus-to-minus-the-minus-12-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-11,"x^12 + x^11","x-to-the-12--+--x-to-the-11"
derivative-of-x-minus-to-minus-the-minus-12-minus-minus-minus-x,"x^12 - x","x-to-the-12---x"
derivative-of-x-minus-to-minus-the-minus-13,"x^13","x-to-the-13"
derivative-of-13x-minus-to-minus-the-minus-13,"13*x^13","13x-to-the-13"
derivative-of-x-minus-to-minus-the-minus-13-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-12,"x^13 + x^12","x-to-the-13--+--x-to-the-12"
derivative-of-x-minus-to-minus-the-minus-13-minus-minus-minus-x,"x^13 - x","x-to-the-13---x"
derivative-of-x-minus-to-minus-the-minus-14,"x^14","x-to-the-14"
derivative-of-14x-minus-to-minus-the-minus-14,"14*x^14","14x-to-the-14"
derivative-of-x-minus-to-minus-the-minus-14-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-13,"x^14 + x^13","x-to-the-14--+--x-to-the-13"
derivative-of-x-minus-to-minus-the-minus-14-minus-minus-minus-x,"x^14 - x","x-to-the-14---x"
derivative-of-x-minus-to-minus-the-minus-15,"x^15","x-to-the-15"
derivative-of-15x-minus-to-minus-the-minus-15,"15*x^15","15x-to-the-15"
derivative-of-x-minus-to-minus-the-minus-15-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-14,"x^15 + x^14","x-to-the-15--+--x-to-the-14"
derivative-of-x-minus-to-minus-the-minus-15-minus-minus-minus-x,"x^15 - x","x-to-the-15---x"
derivative-of-x-minus-to-minus-the-minus-16,"x^16","x-to-the-16"
derivative-of-16x-minus-to-minus-the-minus-16,"16*x^16","16x-to-the-16"
derivative-of-x-minus-to-minus-the-minus-16-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-15,"x^16 + x^15","x-to-the-16--+--x-to-the-15"
derivative-of-x-minus-to-minus-the-minus-16-minus-minus-minus-x,"x^16 - x","x-to-the-16---x"
derivative-of-x-minus-to-minus-the-minus-17,"x^17","x-to-the-17"
derivative-of-17x-minus-to-minus-the-minus-17,"17*x^17","17x-to-the-17"
derivative-of-x-minus-to-minus-the-minus-17-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-16,"x^17 + x^16","x-to-the-17--+--x-to-the-16"
derivative-of-x-minus-to-minus-the-minus-17-minus-minus-minus-x,"x^17 - x","x-to-the-17---x"
derivative-of-x-minus-to-minus-the-minus-18,"x^18","x-to-the-18"
derivative-of-18x-minus-to-minus-the-minus-18,"18*x^18","18x-to-the-18"
derivative-of-x-minus-to-minus-the-minus-18-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-17,"x^18 + x^17","x-to-the-18--+--x-to-the-17"
derivative-of-x-minus-to-minus-the-minus-18-minus-minus-minus-x,"x^18 - x","x-to-the-18---x"
derivative-of-x-minus-to-minus-the-minus-19,"x^19","x-to-the-19"
derivative-of-19x-minus-to-minus-the-minus-19,"19*x^19","19x-to-the-19"
derivative-of-x-minus-to-minus-the-minus-19-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-18,"x^19 + x^18","x-to-the-19--+--x-to-the-18"
derivative-of-x-minus-to-minus-the-minus-19-minus-minus-minus-x,"x^19 - x","x-to-the-19---x"
derivative-of-x-minus-to-minus-the-minus-20,"x^20","x-to-the-20"
derivative-of-20x-minus-to-minus-the-minus-20,"20*x^20","20x-to-the-20"
derivative-of-x-minus-to-minus-the-minus-20-minus-minus-plus-minus-minus-x-minus-to-minus-the-minus-19,"x^20 + x^19","x-to-the-20--+--x-to-the-19"
derivative-of-x-minus-to-minus-the-minus-20-minus-minus-minus-x,"x^20 - x","x-to-the-20---x"
derivative-of-sin2x,"sin(2*x)","sin(2x)"
derivative-of-cos2x,"cos(2*x)","cos(2x)"
derivative-of-tan2x,"tan(2*x)","tan(2x)"
derivative-of-2sinx,"2*sin(x)","2sinx"
derivative-of-2cosx,"2*cos(x)","2cosx"
derivative-of-sin3x,"sin(3*x)","sin(3x)"
derivative-of-cos3x,"cos(3*x)","cos(3x)"
derivative-of-tan3x,"tan(3*x)","tan(3x)"
derivative-of-3sinx,"3*sin(x)","3sinx"
derivative-of-3cosx,"3*cos(x)","3cosx"
derivative-of-sin4x,"sin(4*x)","sin(4x)"
derivative-of-cos4x,"cos(4*x)","cos(4x)"
derivative-of-tan4x,"tan(4*x)","tan(4x)"
derivative-of-4sinx,"4*sin(x)","4sinx"
derivative-of-4cosx,"4*cos(x)","4cosx"
derivative-of-sin5x,"sin(5*x)","sin(5x)"
