slug,formula,type,math_ok,result,issue,math_score,steps_score,unique_score,intent_score,inlink_score,ux_score,meta_score,total,status,auto_fail,sitemap_eligible
"derivative-of-1-minus-x","1-x","basic-polynomial","Yes","-1","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-abs-x","Abs(x)","basic-polynomial","Yes","Abs","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-constant","5","basic-polynomial","Yes","0","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-floor-x","floor(x)","basic-polynomial","Yes","diff(floor(x),x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-pi","pi","basic-polynomial","Yes","0","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-sign-x","sign(x)","basic-polynomial","Yes","0","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-x-plus-1","x+1","basic-polynomial","Yes","1","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-11-minus-to-minus-the-minus-x","11^x","power","Yes","11^x*log(11)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-12-minus-to-minus-the-minus-x","12^x","power","Yes","12^x*log(12)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-13-minus-to-minus-the-minus-x","13^x","power","Yes","13^x*log(13)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-14-minus-to-minus-the-minus-x","14^x","power","Yes","14^x*log(14)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-15-minus-to-minus-the-minus-x","15^x","power","Yes","15^x*log(15)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-10cosx","10*cos(x)","trig","Yes","-10*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-10sinx","10*sin(x)","trig","Yes","10*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-11cosx","11*cos(x)","trig","Yes","-11*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-11sinx","11*sin(x)","trig","Yes","11*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-12cosx","12*cos(x)","trig","Yes","-12*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-12sinx","12*sin(x)","trig","Yes","12*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-13cosx","13*cos(x)","trig","Yes","-13*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-13sinx","13*sin(x)","trig","Yes","13*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-14cosx","14*cos(x)","trig","Yes","-14*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-14sinx","14*sin(x)","trig","Yes","14*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-15cosx","15*cos(x)","trig","Yes","-15*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-15sinx","15*sin(x)","trig","Yes","15*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-6cosx","6*cos(x)","trig","Yes","-6*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-6sinx","6*sin(x)","trig","Yes","6*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-7cosx","7*cos(x)","trig","Yes","-7*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-7sinx","7*sin(x)","trig","Yes","7*cos(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
"derivative-of-8cosx","8*cos(x)","trig","Yes","-8*sin(x)","",30,5,8,8,5,3,3,62,"RED","SSR主体为模板文案，真实答案需客户端JS渲染","No"
